[2025-07-05 10:55:07] USER | UserID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | ChatID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Message: help
[2025-07-05 10:55:18] USER | UserID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | ChatID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Message: myid
[2025-07-05 10:55:25] USER | UserID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | ChatID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Message: 喵
[2025-07-05 10:55:32] USER | UserID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | ChatID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Message: banlist
[2025-07-05 10:55:39] USER | UserID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | ChatID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Message: adminlist
[2025-07-05 10:55:46] USER | UserID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | ChatID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Message: getids
[2025-07-05 10:56:49] USER | UserID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | ChatID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Message: GroupID
[2025-07-05 10:56:55] USER | UserID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | ChatID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Message: IDs
[2025-07-05 10:57:06] USER | UserID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | ChatID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Message: Speed
[2025-07-05 10:57:12] USER | UserID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | ChatID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Message: IDs
[2025-07-05 10:57:25] USER | UserID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | ChatID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Message: Gc
[2025-07-05 10:58:42] USER | UserID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | ChatID: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Message: banlist
