[2025-07-05 11:23:44] protection_enabled | Group: Cd59a266a65d7d8d7d975360569d0223d | User: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Details: Standard protection
[2025-07-05 11:30:30] suspicious_high_activity | Group: Cd59a266a65d7d8d7d975360569d0223d | User: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Details: Message: 8000嗎
[2025-07-05 11:30:31] suspicious_high_activity | Group: Cd59a266a65d7d8d7d975360569d0223d | User: Ue585da1f0a42432b10449cd660b9623e | Details: Message: 可能一個東西5000-8000
[2025-07-05 11:30:36] suspicious_high_activity | Group: Cd59a266a65d7d8d7d975360569d0223d | User: Ue585da1f0a42432b10449cd660b9623e | Details: Message: 可以複製的那種
[2025-07-05 11:30:45] suspicious_high_activity | Group: Cd59a266a65d7d8d7d975360569d0223d | User: Ue585da1f0a42432b10449cd660b9623e | Details: Message: 我覺得差不多 
[2025-07-05 11:30:53] suspicious_high_activity | Group: Cd59a266a65d7d8d7d975360569d0223d | User: Ue585da1f0a42432b10449cd660b9623e | Details: Message: 看要不要花太多時間
[2025-07-05 11:30:57] suspicious_high_activity | Group: Cd59a266a65d7d8d7d975360569d0223d | User: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Details: Message: 好 那就5000-8000
[2025-07-05 11:31:04] suspicious_high_activity | Group: Cd59a266a65d7d8d7d975360569d0223d | User: Ue585da1f0a42432b10449cd660b9623e | Details: Message: 期末考大家會比較願意花錢
[2025-07-05 11:31:07] suspicious_high_activity | Group: Cd59a266a65d7d8d7d975360569d0223d | User: Ue585da1f0a42432b10449cd660b9623e | Details: Message: 有剛需
[2025-07-05 11:31:10] suspicious_high_activity | Group: Cd59a266a65d7d8d7d975360569d0223d | User: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Details: Message: 他們的需求都挺簡單
[2025-07-05 11:31:11] suspicious_high_activity | Group: Cd59a266a65d7d8d7d975360569d0223d | User: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Details: Message: 真的
[2025-07-05 11:31:22] suspicious_high_activity | Group: Cd59a266a65d7d8d7d975360569d0223d | User: Ue585da1f0a42432b10449cd660b9623e | Details: Message: 晚上再討論看看
[2025-07-05 11:31:23] suspicious_high_activity | Group: Cd59a266a65d7d8d7d975360569d0223d | User: Ue585da1f0a42432b10449cd660b9623e | Details: Message: 哈哈哈
[2025-07-05 11:32:26] user_banned | Group: Cd59a266a65d7d8d7d975360569d0223d | User: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Details: Banned user: Ue585da1f0a42432b10449cd660b9623e
[2025-07-05 11:33:21] suspicious_high_activity | Group: Cd59a266a65d7d8d7d975360569d0223d | User: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Details: Message: Security
[2025-07-05 12:57:04] mention_all | Group: Cd59a266a65d7d8d7d975360569d0223d | User: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Details: Used @all function
[2025-07-05 12:57:20] mention_all | Group: Cd59a266a65d7d8d7d975360569d0223d | User: U215dfe5f0cdc8c5ddd970a5d2fb4b288 | Details: Used @all function
[2025-07-05 12:57:58] suspicious_blacklisted_user | Group: Cd59a266a65d7d8d7d975360569d0223d | User: Ue585da1f0a42432b10449cd660b9623e | Details: Message: 牛
[2025-07-05 12:57:58] blacklist_activity | Group: Cd59a266a65d7d8d7d975360569d0223d | User: Ue585da1f0a42432b10449cd660b9623e | Details: Message: 牛
